Designator,Mid X,Mid Y,Rotation,Layer
_3,228.0,-100.0,0.0,top
_2,228.0,-152.5,0.0,top
,245.5,-100.0125,0.0,top
BOOT1,163.5,-144.0,270.0,top
BOOT2,244.1,-144.2,90.0,top
C1,180.0,-140.0,180.0,top
C10,165.5,-115.5,180.0,top
C11,177.0,-129.0,90.0,top
C12,179.0,-132.0,0.0,top
C13,172.0,-143.5,270.0,bottom
C14,171.5,-129.0,90.0,bottom
C15,180.0,-137.0,0.0,top
C16,179.0,-133.5,0.0,top
C17,173.0,-129.0,90.0,bottom
C18,166.5,-133.0,0.0,bottom
C19,167.0,-138.775,270.0,bottom
C2,166.0,-107.5,180.0,top
C20,243.5,-108.0,180.0,top
C21,246.0,-128.4,270.0,top
C22,243.5,-113.5,180.0,top
C23,234.0,-147.5,270.0,top
C24,236.5,-150.5,180.0,top
C25,235.5,-143.0,270.0,bottom
C26,240.5,-129.8,180.0,bottom
C27,228.0,-130.5,180.0,top
C28,243.5,-116.5,0.0,top
C29,228.0,-137.0,180.0,top
C3,165.5,-118.0,0.0,top
C30,242.5,-131.4,0.0,top
C31,237.0,-143.0,270.0,bottom
C32,242.5,-136.9,0.0,top
C33,242.5,-134.4,0.0,top
C34,242.5,-132.9,0.0,top
C35,228.0,-129.0,180.0,top
C36,228.0,-132.0,180.0,top
C37,228.1,-140.5,0.0,top
C38,228.0,-127.5,180.0,top
C4,165.5,-112.5,0.0,top
C5,169.0,-147.6,270.0,top
C6,171.5,-150.5,180.0,top
C7,166.5,-131.5,0.0,bottom
C8,175.5,-129.0,90.0,top
C9,173.5,-143.5,270.0,bottom
D1,192.5,-163.0,192.0,bottom
D10,94.014995,-120.600005,180.0,bottom
D11,113.014995,-115.850005,180.0,bottom
D12,132.25,-120.3125,180.0,bottom
D13,151.25,-120.3125,180.0,bottom
D14,151.25,-101.3125,180.0,bottom
D15,132.25,-101.3125,180.0,bottom
D16,113.014995,-96.67275,180.0,bottom
D17,94.014995,-101.600005,180.0,bottom
D18,75.014995,-113.475005,180.0,bottom
D19,180.5,-105.5,0.0,top
D2,171.5,-159.5,186.0,bottom
D20,180.5,-111.0,0.0,top
D23,214.8,-162.955,168.0,bottom
D24,235.6,-159.655,174.0,bottom
D25,256.75,-158.0,180.0,bottom
D26,256.75,-139.3125,180.0,bottom
D27,275.75,-139.3125,180.0,bottom
D28,294.75,-134.850005,180.0,bottom
D29,313.75,-139.3125,180.0,bottom
D3,151.014995,-158.600005,180.0,bottom
D30,332.75,-151.475005,180.0,bottom
D31,332.75,-132.475005,180.0,bottom
D32,313.75,-120.3125,180.0,bottom
D33,294.75,-115.850005,180.0,bottom
D34,275.75,-120.3125,180.0,bottom
D35,256.75,-120.3125,180.0,bottom
D36,256.75,-101.3125,180.0,bottom
D37,275.75,-101.3125,180.0,bottom
D38,294.75,-96.67275,180.0,bottom
D39,313.75,-101.3125,180.0,bottom
D4,151.25,-139.3125,180.0,bottom
D40,332.75,-113.475005,180.0,bottom
D41,227.8,-104.9,0.0,top
D42,227.8,-110.5,0.0,top
D5,132.014995,-139.3125,180.0,bottom
D6,113.014995,-134.850005,180.0,bottom
D7,94.014995,-139.600005,180.0,bottom
D8,75.014995,-151.475005,180.0,bottom
D9,75.014995,-132.475005,180.0,bottom
F1,165.5,-114.0,0.0,top
F2,243.5,-115.0,180.0,top
J1,171.0,-99.0,180.0,top
J3,181.0,-120.0,90.0,top
J4,237.0,-99.0,180.0,top
J6,227.0,-120.0,270.0,top
R1,180.0,-148.0,180.0,top
R10,180.5,-113.0,0.0,top
R11,244.0,-147.9,180.0,top
R12,228.1,-147.9,0.0,top
R13,246.0,-121.5,270.0,top
R14,243.2,-103.3,270.0,top
R15,230.8,-103.4,270.0,top
R16,239.0,-147.5,90.0,top
R17,227.8,-106.7,0.0,top
R18,236.500707,-128.4,270.0,top
R19,238.000707,-128.4,90.0,top
R2,163.5,-140.0,0.0,top
R20,227.8,-112.3,0.0,top
R3,177.5,-103.0,270.0,top
R4,163.7,-103.5,180.0,top
R5,164.0,-129.5,180.0,top
R6,180.5,-107.5,0.0,top
R7,172.5,-129.0,270.0,top
R8,174.0,-129.0,90.0,top
R9,174.0,-147.6,90.0,top
RESET1,180.0,-144.0,270.0,top
RESET2,228.1,-144.2,90.0,top
S1,75.014995,-118.225005,180.0,top
S10,113.014995,-120.600005,180.0,top
S11,113.014995,-139.600005,180.0,top
S12,191.389995,-168.100005,168.0,top
S13,132.25,-106.0625,180.0,top
S14,132.25,-125.0625,180.0,top
S15,132.014995,-144.350005,180.0,top
S16,151.25,-106.0625,180.0,top
S17,151.25,-125.0625,180.0,top
S18,151.25,-144.350005,180.0,top
S19,256.75,-106.0625,180.0,top
S2,75.014995,-137.225005,180.0,top
S20,256.75,-125.0625,180.0,top
S21,256.75,-144.350005,180.0,top
S22,275.75,-106.0625,180.0,top
S23,275.75,-125.0625,180.0,top
S24,275.75,-144.350005,180.0,top
S25,294.75,-101.43535,180.0,top
S26,294.75,-120.600005,180.0,top
S27,294.75,-139.600005,180.0,top
S28,313.75,-106.0625,180.0,top
S29,313.75,-125.0625,180.0,top
S3,75.014995,-156.225005,180.0,top
S30,313.75,-144.350005,180.0,top
S31,332.75,-118.225005,180.0,top
S32,332.75,-137.225005,180.0,top
S33,332.75,-156.350005,180.0,top
S34,216.610005,-168.100005,192.0,top
S35,236.797505,-164.537505,186.0,top
S36,256.75,-163.350005,180.0,top
S4,151.014995,-163.350005,180.0,top
S5,94.014995,-106.350005,180.0,top
S6,94.014995,-125.350005,180.0,top
S7,94.014995,-144.350005,180.0,top
S8,171.202495,-164.537505,174.0,top
S9,113.25,-101.43535,180.0,top
U1,166.5,-124.0,0.0,top
U2,165.750002,-109.999999,0.0,top
U3,171.5,-110.0,0.0,top
U4,172.0,-135.9375,90.0,top
U5,242.0,-124.0,180.0,top
U6,243.5,-110.5,0.0,top
U7,236.6,-110.0,0.0,top
U8,236.0,-135.9375,90.0,top
Y1,171.5,-147.5,270.0,top
Y2,236.5,-147.5,270.0,top
